Tabela Encadeada: 
(founded : 2085118)
(William : 2112037)
(Russell : 2021279)
(member : 2120234)
(Yale : 2085517)
(Class : 2110996)
(1833 : 2299)
(stripping : 1869244)
(secrecy : 1852128)
(Phi : 1578971)
(Beta : 1189829)
(Kappa : 1844783)
(honorary : 1950420)
(scholastic : 1857992)
(society : 2117084)
(national : 2117092)
(anti-secrecy : 2322)
(movement : 2105467)
(plane : 2100849)
(refueled : 1969337)
(leaves : 2092458)
(Cyprus : 2063467)
(Algeria : 2104262)
(happened : 2095736)
(death : 2114674)
(dinosaurs : 1057377)
(actually : 2105989)
(significant : 2106480)
(trend : 2112075)
(argues : 2025196)
(Robert : 2119923)
(Sobel : 2350)
(professor : 2110191)
(history : 2119694)
(Hofstra : 2357)
(University : 2120561)
(Hempstead : 134475)
(N.Y : 2089070)
(vaccine : 1641773)
(proven : 2009433)
(shown : 2102968)
(effects : 2115262)
(substances : 2049447)
(return : 2118868)
(compliment : 1845238)
(notes : 2109988)
(idea : 2120967)
(stocks : 2120585)
(options : 2120706)
(real : 2119710)
(estate : 2119711)
(art : 2115864)
(Meanwhile : 2116957)
(circus : 2111891)
(animals : 2116309)
(stuck : 2117758)
(Newburgh : 2425)
(transporting : 2019132)
(took : 2119860)
(headquarters : 2118451)
(tour : 2115002)
(broke : 2101102)
(performances : 2120727)
(cities : 2114284)
(total : 2120644)
(463 : 610677)
(died : 2118918)
(traffic : 2110034)
(accidents : 2109064)
(holiday : 2117030)
(weekend : 2120137)
(National : 2120681)
(Safety : 2081213)
(Council : 2094439)
(early : 2118165)
(trading : 2118458)
(Hong : 2115664)
(Kong : 2115665)
